nutzungsart;vermarktungsart;objektart;neubau;plz;ort;strasse;wohnflaeche;grundstuecksflaeche;anzahl_zimmer;anzahl_schlafzimmer;anzahl_badezimmer;Ursprünglicher Angebotspreis;Angebotspreis;Realer Kaufpreis;baujahr;zustand;etagen_zahl;balkon;terrasse;unterkellert;energieausweisbaujahr;auftragvon;auftragbis;auftragsart;verkauft_am
wohnen;kauf;haus;0;97276;Margetshöchheim;;263.0;650.0;8.0;0;0;0;590699.0;;;Erstbezug;1;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97273;Kürnach;;170.0;0;6.0;0;0;0;259000.0;;;Projektiert;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97273;Kürnach;;134.0;0;4.0;0;0;0;229000.0;;;Projektiert;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97318;Kitzingen;;99.0;256.0;4.0;0;0;0;270000.0;;1985;;0;1;1;NEIN;1985;;;;
wohnen;kauf;haus;0;97342;Marktsteft;;386.8;961.0;7.0;0;1;0;1190000.0;;1990;Neuwertig;2;0;1;JA;1990;;;;
wohnen;kauf;haus;0;97237;Altertheim;;130.0;404.0;5.0;0;0;0;250000.0;;1994;Teil- oder vollrenovierungsbedürftig;3;0;0;JA;1994;;;;
wohnen;kauf;haus;0;97230;Estenfeld;;154.0;0;5.0;0;0;0;272000.0;;;Projektiert;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97230;Estenfeld;;170.0;0;6.0;0;0;0;259000.0;;;Projektiert;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97340;Marktbreit;;500.0;2500.0;10.0;0;0;0;;;1966;Neuwertig;1;1;1;JA;1995;;;;
wohnen;kauf;haus;0;97237;Altertheim;;240.0;1237.0;9.0;7;2;0;499000.0;;1999;;0;1;1;JA;1999;;;;
wohnen;kauf;haus;0;97230;Estenfeld;;108.0;357.0;5.0;0;0;0;235000.0;;1920;Teil- oder vollrenovierungsbedürftig;0;0;1;JA;1920;;;;
wohnen;kauf;haus;0;97318;Kitzingen;;126.0;399.0;5.0;0;0;0;428468.0;;2021;Erstbezug;3;0;1;JA;2021;;;;
wohnen;kauf;haus;0;97318;Kitzingen;;122.0;267.0;5.0;0;0;0;378355.0;;2021;Erstbezug;3;0;1;JA;2021;;;;
wohnen;kauf;haus;0;97318;Kitzingen;;1365.0;3693.0;20.0;0;0;0;;;1970;;0;0;0;NEIN;1970;;;;
wohnen;kauf;haus;0;97318;Kitzingen;;347.0;3215.0;11.0;0;0;0;1290000.0;;;;2;0;1;JA;;;;;
wohnen;kauf;haus;0;97318;Kitzingen;;227.0;5700.0;8.0;0;1;0;1100000.0;;1954;Teil- oder vollsaniert;1;0;0;NEIN;2007;;;;
wohnen;kauf;haus;0;97261;Güntersleben;;156.0;552.0;5.0;0;0;0;569000.0;;1999;;0;1;0;NEIN;1999;;;;
wohnen;kauf;haus;0;97318;Kitzingen;;281.0;170.0;10.0;0;0;0;770000.0;;1800;;0;0;0;NEIN;1800;;;;
wohnen;kauf;haus;0;97261;Güntersleben;;292.44;1000.0;0;0;0;0;585000.0;;1974;Teil- oder vollsaniert;3;1;1;NEIN;1974;;;;
wohnen;kauf;haus;0;97318;Kitzingen;;124.45;251.0;7.0;3;1;0;399000.0;;2000;;0;0;1;JA;2014;;;;
wohnen;kauf;haus;0;97318;Kitzingen;;362.0;559.0;10.0;0;0;0;529000.0;;1950;;2;1;0;JA;1950;;;;
wohnen;kauf;haus;0;97318;Kitzingen;;430.0;2060.0;10.0;0;0;0;955000.0;;1898;Teil- oder vollrenovierungsbedürftig;2;1;0;JA;1898;;;;
wohnen;kauf;haus;0;97318;Kitzingen;;264.0;0;0;0;0;0;470000.0;;1899;;0;0;0;JA;2003;;;;
wohnen;kauf;haus;0;97318;Kitzingen;;730.0;700.0;29.0;9;9;0;1650000.0;;1898;;0;1;0;NEIN;1898;;;;
wohnen;kauf;haus;0;97318;Kitzingen;;178.0;150.0;8.0;4;3;0;545000.0;;1900;;0;0;0;NEIN;1900;;;;
wohnen;kauf;haus;0;97261;Güntersleben;;240.0;820.0;9.0;0;0;0;598000.0;;1982;;0;0;0;NEIN;2009;;;;
wohnen;kauf;haus;0;97320;Albertshofen;;260.0;240.0;0;0;0;0;249000.0;;;;0;0;0;NEIN;1985;;;;
wohnen;kauf;haus;0;97320;Albertshofen;;260.0;240.0;0;0;0;0;249000.0;;;;0;0;0;NEIN;1985;;;;
wohnen;kauf;haus;0;97261;Güntersleben;;135.0;512.0;5.0;0;0;0;379000.0;;1970;;3;0;1;JA;1970;;;;
wohnen;kauf;haus;0;97261;Güntersleben;;136.0;1210.0;8.0;0;0;0;390000.0;;;;0;0;0;JA;;;;;
wohnen;kauf;haus;0;97261;Güntersleben;;171.0;446.0;6.0;0;0;0;345000.0;;;;0;1;1;NEIN;;;;;
wohnen;kauf;haus;0;97261;Güntersleben;;90.0;180.0;3.5;0;0;0;179999.0;;1910;;0;0;0;JA;1910;;;;
wohnen;kauf;haus;0;97318;Kitzingen;;102.0;186.0;5.0;2;2;0;299000.0;;1949;;0;0;1;JA;2019;;;;
wohnen;kauf;haus;0;97340;Marktbreit;;250.0;1160.0;10.0;5;2;0;460000.0;;1998;;0;1;0;JA;1998;;;;
