GENESIS-Tabelle: 13211-01-03-5-B;;;;;;;;
Arbeitslose nach ausgewählten Personengruppen -;;;;;;;;
Jahresdurchschnitt - regionale Ebenen;;;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;;;
Jahr: 2019;;;;;;;;
;;Arbeitslose insgesamt;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose
;;;und zwar;und zwar;und zwar;und zwar;und zwar;und zwar
;;;Ausländer;schwerbehindert;15 bis unter 20 Jahre;15 bis unter 25 Jahre;55 bis unter 65 Jahre;langzeitarbeitslos
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
1053045;Grove;3;.;1;0;.;1;1
1053046;Gudow;29;8;2;1;4;4;3
1053047;Gülzow;24;2;3;1;4;7;7
1053048;Güster;23;2;1;1;3;6;4
1053049;Hamfelde;3;0;1;0;.;0;.
1053050;Hamwarde;18;1;1;0;0;8;7
1053051;Harmsdorf;3;1;.;.;0;0;0
1053052;Havekost;2;.;1;0;.;1;.
1053053;Hohenhorn;12;2;1;0;1;2;2
1053054;Hollenbek;11;0;1;0;1;5;4
1053056;Hornbek;7;1;0;0;0;3;2
1053057;Horst;4;0;1;0;1;.;2
1053058;Juliusburg;3;.;.;.;1;1;1
1053059;Kankelau;2;0;.;.;1;0;0
1053060;Kasseburg;7;1;2;0;0;2;3
1053061;Kastorf;11;1;0;0;1;3;2
1053062;Kittlitz;4;1;.;.;.;2;1
1053064;Klein Pampau;7;0;0;0;0;2;2
1053066;Klein Zecher;3;.;0;1;1;1;1
1053067;Klempau;9;.;0;1;3;2;3
1053068;Klinkrade;7;3;0;0;1;2;2
1053069;Koberg;7;0;0;1;1;1;1
1053070;Köthel;5;.;.;.;1;1;1
1053071;Kollow;8;1;1;0;1;2;1
1053072;Kröppelshagen-Fahrendorf;22;10;0;1;2;5;4
1053073;Krüzen;7;1;0;0;1;2;0
1053074;Krukow;2;.;.;.;.;1;1
1053075;Krummesse;38;7;1;0;3;8;12
1053076;Kuddewörde;11;2;.;.;1;3;4
1053077;Kühsen;3;0;0;0;1;1;0
1053078;Kulpin;4;.;1;0;0;2;1
1053079;Labenz;9;1;3;0;1;3;4
1053080;Langenlehsten;3;0;1;0;.;1;1
1053081;Lankau;9;1;0;1;2;3;3
1053082;Lanze;5;1;1;0;0;3;3
1053083;Lauenburg/Elbe;535;142;40;23;66;124;191
1053084;Lehmrade;15;1;2;0;2;5;4
1053085;Linau;18;2;1;1;1;6;5
1053086;Lüchow;6;.;0;0;0;3;2
1053087;Lütau;8;.;3;0;1;3;2
1053088;Mechow;0;.;.;.;0;.;.
1053089;Möhnsen;9;1;0;0;1;2;2
1053090;Mölln;632;148;43;24;87;123;236
1053091;Mühlenrade;3;.;1;0;0;2;1
1053092;Müssen;22;1;0;0;3;6;8
1053093;Mustin;10;0;1;0;1;1;2
1053094;Niendorf bei Berkenthin;3;.;1;0;.;3;2
1053095;Niendorf/Stecknitz;7;.;0;1;2;2;1
1053096;Nusse;19;2;1;1;2;3;9
1053097;Panten;13;0;1;0;1;2;4
1053098;Pogeez;12;0;0;0;2;2;4
1053099;Poggensee;6;.;.;.;.;4;1
1053100;Ratzeburg;459;90;25;14;58;87;192
1053101;Ritzerau;4;.;0;1;1;0;1
1053102;Römnitz;2;.;.;.;.;1;0
1053103;Rondeshagen;13;3;1;1;2;5;2
1053104;Roseburg;10;.;1;0;1;4;3
1053105;Sachsenwald;-;-;.;.;-;-;.
1053106;Sahms;4;1;0;0;0;1;1
1053107;Salem;13;1;1;1;1;3;5
1053108;Sandesneben;28;4;0;1;3;6;7
1053109;Schiphorst;9;1;0;0;2;3;1
1053110;Schmilau;8;1;1;0;1;2;1
1053111;Schnakenbek;14;3;1;0;1;3;5
1053112;Schönberg;22;3;1;1;3;9;5
1053113;Schretstaken;7;.;0;0;1;2;3
1053114;Schürensöhlen;2;.;.;.;0;0;.
1053115;Schulendorf;6;0;0;0;1;2;2
1053116;Schwarzenbek;566;160;37;12;58;130;196
1053117;Seedorf;7;0;0;0;0;2;2
1053118;Siebenbäumen;13;2;0;0;1;2;4
1053119;Siebeneichen;4;.;0;0;1;1;0
1053120;Sierksrade;12;2;1;1;2;3;4
1053121;Sirksfelde;5;.;0;0;0;1;2
1053122;Steinhorst;10;0;1;0;1;2;5
1053123;Sterley;16;2;3;1;2;3;4
1053124;Stubben;8;3;0;0;1;2;4
1053125;Talkau;7;0;1;0;1;1;0
1053126;Tramm;6;0;0;0;1;3;0
1053127;Walksfelde;5;1;0;0;0;1;3
1053128;Wangelau;3;1;0;0;1;1;1
1053129;Wentorf bei Hamburg;191;44;11;3;13;52;57
1053130;Wentorf (Amt Sandesneben);10;.;1;0;2;4;6
1053131;Wiershop;2;.;.;.;0;1;1
1053132;Witzeeze;13;.;2;0;0;7;3
1053133;Wohltorf;28;5;4;0;2;6;7
1053134;Woltersdorf;3;.;1;0;.;1;1
1053135;Worth;1;.;.;.;.;.;.
1053136;Ziethen;15;1;0;1;1;2;4
1054001;Achtrup;36;1;1;1;3;8;14
1054002;Ahrenshöft;5;0;1;0;1;1;0
1054003;Ahrenviöl;19;2;0;1;4;4;8
1054004;Ahrenviölfeld;3;.;0;0;0;.;2
1054005;Alkersum;4;0;.;.;1;1;0
1054006;Almdorf;11;2;1;0;1;2;6
1054007;Arlewatt;3;0;0;0;0;3;1
1054009;Aventoft;12;3;0;0;1;2;4
1054010;Bargum;8;0;1;0;1;2;4
1054011;Behrendorf;5;.;1;0;1;1;1
1054012;Bohmstedt;19;1;1;1;2;2;6
1054013;Bondelum;5;.;0;0;1;2;2
1054014;Bordelum;42;.;2;1;5;7;13
1054015;Borgsum;4;.;.;.;.;2;1
1054016;Bosbüll;5;0;.;.;0;2;2
1054017;Braderup;11;1;0;0;1;3;3
1054018;Bramstedtlund;3;.;0;0;0;1;1
1054019;Bredstedt;252;71;13;7;35;36;98
1054020;Breklum;52;4;4;1;7;16;18
1054022;Dagebüll;16;1;2;0;3;5;3
1054023;Drage;11;.;0;1;2;3;4
1054024;Drelsdorf;25;0;1;0;4;6;8
1054025;Dunsum;0;.;.;.;0;.;.
1054026;Elisabeth-Sophien-Koog;1;1;.;.;.;.;.
1054027;Ellhöft;4;.;0;1;1;1;1
1054032;Fresendelf;1;.;.;.;0;.;.
1054033;Friedrichstadt;128;31;6;3;15;23;61
1054034;Friedrich-Wilhelm-Lübke-Koog;2;.;0;0;0;2;0
1054035;Garding, Kirchspiel;4;0;.;.;1;2;.
1054036;Garding;93;19;4;3;9;27;31
1054037;Goldebek;5;0;0;0;1;2;1
1054038;Goldelund;11;1;1;0;1;3;3
1054039;Gröde;.;.;.;.;.;.;.
1054040;Grothusenkoog;.;.;.;.;.;.;.
1054041;Haselund;14;.;0;1;3;4;5
1054042;Hattstedt;55;5;5;1;6;17;19
1054043;Hattstedtermarsch;8;.;1;1;1;4;3
1054045;Högel;12;1;1;1;1;2;3
1054046;Hörnum (Sylt);18;3;1;0;2;5;2
1054048;Holm;2;.;.;.;0;0;.
1054050;Hallig Hooge;4;1;.;.;0;1;1
1054052;Horstedt;10;1;0;0;2;1;2
1054054;Hude;5;.;.;.;.;3;0
1054055;Humptrup;10;.;0;0;2;2;3
1054056;Husum;1100;255;71;25;129;206;539
1054057;Immenstedt;7;.;1;1;3;1;0
1054059;Joldelund;7;.;1;0;1;0;1
1054061;Kampen (Sylt);6;1;.;.;0;1;1
1054062;Karlum;4;0;0;0;0;0;0
1054063;Katharinenheerd;4;1;.;.;1;2;1
1054065;Klanxbüll;23;3;1;0;3;4;5
1054068;Klixbüll;22;5;1;0;3;4;6
1054070;Koldenbüttel;18;2;2;0;2;3;6
1054071;Kolkerheide;0;.;.;.;.;.;0
1054072;Kotzenbüll;4;.;.;.;0;.;2
1054073;Ladelund;22;2;0;0;2;11;5
1054074;Langeneß;2;1;0;1;1;1;1
1054075;Langenhorn;92;6;7;2;13;18;31
1054076;Leck;319;78;14;10;48;47;141
1054077;Lexgaard;1;.;.;.;.;0;.
1054078;List;29;9;1;0;2;7;1
1054079;Löwenstedt;8;1;2;0;1;1;2
1054080;Lütjenholm;9;.;1;1;2;1;5
