GENESIS-Tabelle: 13211-01-03-5-B;;;;;;;;
Arbeitslose nach ausgewählten Personengruppen -;;;;;;;;
Jahresdurchschnitt - regionale Ebenen;;;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;;;
Jahr: 2019;;;;;;;;
;;Arbeitslose insgesamt;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose
;;;und zwar;und zwar;und zwar;und zwar;und zwar;und zwar
;;;Ausländer;schwerbehindert;15 bis unter 20 Jahre;15 bis unter 25 Jahre;55 bis unter 65 Jahre;langzeitarbeitslos
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9472444;Gem.fr. Geb. Bayreuth;-;-;-;-;-;-;-
9472451;Bischofsgrüner Forst;-;-;-;-;-;-;-
9472453;Fichtelberg;-;-;-;-;-;-;-
9472454;Forst Neustädtlein a.Forst;-;-;-;-;-;-;-
9472456;Glashüttener Forst;-;-;-;-;-;-;-
9472457;Goldkronacher Forst;-;-;-;-;-;-;-
9472458;Heinersreuther Forst;-;-;-;-;-;-;-
9472459;Langweiler Wald;-;-;-;-;-;-;-
9472460;Lindenhardter Forst-Nordwest;-;-;-;-;-;-;-
9472461;Lindenhardter Forst-Südost;-;-;-;-;-;-;-
9472463;Neubauer Forst-Nord;-;-;-;-;-;-;-
9472464;Prüll;-;-;-;-;-;-;-
9472468;Veldensteinerforst;-;-;-;-;-;-;-
9472469;Waidacher Forst;-;-;-;-;-;-;-
9472470;Warmensteinacher Forst-Nord;-;-;-;-;-;-;-
9473112;Ahorn;63;9;3;1;6;19;8
9473120;Dörfles-Esbach;80;8;7;1;7;21;18
9473121;Ebersdorf b.Coburg;116;21;11;2;11;42;26
9473132;Großheirath;26;0;4;0;1;8;5
9473134;Grub a.Forst;46;3;6;2;5;17;12
9473138;Itzgrund;31;1;1;0;3;9;6
9473141;Lautertal;61;3;10;2;6;24;13
9473144;Meeder;45;1;7;2;6;17;8
9473151;Neustadt b.Coburg, GKSt;352;74;35;10;44;78;87
9473153;Niederfüllbach;22;1;4;0;1;10;4
9473158;Bad Rodach, St;100;9;16;3;11;30;22
9473159;Rödental, St;272;29;30;5;26;79;69
9473165;Seßlach, St;50;2;7;1;6;17;9
9473166;Sonnefeld;68;6;5;2;10;28;9
9473170;Untersiemau;56;2;4;2;9;14;7
9473174;Weidhausen b.Coburg;52;5;6;2;6;18;11
9473175;Weitramsdorf;97;11;12;3;12;26;26
9473444;Gem.fr. Geb. Coburg;-;-;-;-;-;-;-
9473452;Callenberger Forst-West;-;-;-;-;-;-;-
9473453;Gellnhausen;-;-;-;-;-;-;-
9473454;Köllnholz;-;-;-;-;-;-;-
9474119;Dormitz;20;1;1;1;3;6;4
9474121;Ebermannstadt, St;114;16;17;2;15;35;21
9474122;Effeltrich;29;5;6;0;3;12;6
9474123;Eggolsheim, M;76;9;8;1;8;22;16
9474124;Egloffstein, M;33;5;4;1;4;9;7
9474126;Forchheim, GKSt;611;186;61;14;56;145;122
9474129;Gößweinstein, M;65;8;8;1;4;25;11
9474132;Gräfenberg, St;57;11;4;3;6;18;14
9474133;Hallerndorf;45;3;3;2;5;12;6
9474134;Hausen;48;7;7;1;3;16;11
9474135;Heroldsbach;62;10;6;1;7;16;11
9474137;Hetzles;14;0;3;0;1;6;1
9474138;Hiltpoltstein, M;13;2;2;0;1;5;3
9474140;Igensdorf, M;50;6;5;0;6;17;7
9474143;Kirchehrenbach;28;4;5;1;3;9;5
9474144;Kleinsendelbach;16;2;0;0;1;7;3
9474145;Kunreuth;10;0;1;0;0;2;0
9474146;Langensendelbach;21;5;1;1;2;8;5
9474147;Leutenbach;16;1;3;0;1;7;3
9474154;Neunkirchen a.Brand, M;91;13;10;1;8;30;18
9474156;Obertrubach;38;2;4;0;2;19;8
9474158;Pinzberg;25;3;3;0;2;11;7
9474160;Poxdorf;9;.;0;0;1;4;1
9474161;Pretzfeld, M;27;1;4;1;2;12;5
9474168;Unterleinleiter;13;1;1;0;2;4;3
9474171;Weilersbach;21;0;3;1;2;7;4
9474173;Weißenohe;18;4;2;1;2;5;1
9474175;Wiesenthau;14;2;3;0;1;3;3
9474176;Wiesenttal, M;37;8;5;1;6;13;8
9475112;Bad Steben, M;37;8;5;1;2;13;5
9475113;Berg;26;1;3;0;3;11;4
9475120;Döhlau;41;1;5;0;4;17;7
9475123;Feilitzsch;33;5;5;1;4;10;5
9475127;Gattendorf;10;.;2;0;1;5;0
9475128;Geroldsgrün;36;1;7;1;3;18;7
9475136;Helmbrechts, St;131;20;19;3;10;44;21
9475137;Issigau;17;1;1;0;1;7;1
9475141;Köditz;29;1;4;0;2;13;6
9475142;Konradsreuth;34;3;3;1;4;9;5
9475145;Leupoldsgrün;13;1;2;0;2;4;2
9475146;Lichtenberg, St;13;.;1;0;1;3;5
9475154;Münchberg, St;188;42;25;7;22;49;34
9475156;Naila, St;114;17;11;4;12;31;21
9475158;Oberkotzau, M;100;18;7;2;12;25;16
9475161;Regnitzlosau;21;4;1;0;2;7;2
9475162;Rehau, St;212;57;24;6;28;56;42
9475165;Schauenstein, St;33;1;4;0;1;13;7
9475168;Schwarzenbach a.d.Saale, St;121;23;16;2;9;43;24
9475169;Schwarzenbach a.Wald, St;78;8;6;2;8;28;13
9475171;Selbitz, St;52;9;3;1;6;11;11
9475174;Sparneck, M;18;1;2;0;2;2;5
9475175;Stammbach, M;29;1;5;1;3;14;5
9475181;Töpen;10;0;0;0;1;3;2
9475182;Trogen;25;0;3;1;2;11;5
9475184;Weißdorf;15;1;4;1;2;6;3
9475189;Zell im Fichtelgebirge, M;30;3;2;0;4;12;4
9475444;Gem.fr. Geb. Hof;-;-;-;-;-;-;-
9475451;Forst Schwarzenbach a.Wald;-;-;-;-;-;-;-
9475452;Gerlaser Forst;-;-;-;-;-;-;-
9475453;Geroldsgrüner Forst;-;-;-;-;-;-;-
9475454;Martinlamitzer Forst-Nord;-;-;-;-;-;-;-
9476145;Kronach, St;378;67;47;7;40;96;51
9476146;Küps, M;173;20;21;4;17;61;29
9476152;Ludwigsstadt, St;42;7;4;3;7;11;5
9476154;Mitwitz, M;51;4;9;1;5;17;15
9476159;Nordhalben, M;41;4;7;1;3;18;10
9476164;Pressig, M;61;7;9;1;7;13;9
9476166;Reichenbach;9;0;2;1;2;3;1
9476171;Schneckenlohe;21;3;3;1;4;6;3
9476175;Steinbach a.Wald;36;3;5;1;7;9;6
9476177;Steinwiesen, M;65;2;9;1;6;19;15
9476178;Stockheim;73;7;8;2;6;24;11
9476179;Tettau, M;24;2;4;0;1;9;3
9476180;Teuschnitz, St;25;2;3;1;3;7;3
9476182;Tschirn;11;0;2;0;0;5;0
9476183;Marktrodach, M;68;2;10;2;6;22;13
9476184;Wallenfels, St;52;2;9;1;4;25;7
9476185;Weißenbrunn;53;4;6;2;5;19;6
9476189;Wilhelmsthal;50;1;6;2;5;19;6
9476444;Gem.fr. Geb. Kronach;-;-;-;-;-;-;-
9476451;Birnbaum;-;-;-;-;-;-;-
9476453;Langenbacher Forst;-;-;-;-;-;-;-
9477117;Grafengehaig, M;16;0;3;0;2;7;5
9477118;Guttenberg;9;1;2;0;1;3;3
9477119;Harsdorf;11;1;4;1;1;3;3
9477121;Himmelkron;45;4;6;1;5;13;10
9477124;Kasendorf, M;34;3;5;0;6;9;9
9477127;Ködnitz;17;1;5;0;2;4;2
9477128;Kulmbach, GKSt;605;130;79;15;60;144;165
9477129;Kupferberg, St;15;0;2;0;1;7;3
9477135;Ludwigschorgast, M;13;0;2;0;1;7;3
9477136;Mainleus, M;117;18;19;2;9;40;28
9477138;Marktleugast, M;55;4;8;1;5;19;10
9477139;Marktschorgast, M;25;1;4;1;3;13;4
9477142;Neudrossenfeld;51;3;8;1;3;22;13
9477143;Neuenmarkt;69;15;12;1;8;23;22
9477148;Presseck, M;52;2;7;1;2;22;12
9477151;Rugendorf;15;.;2;0;1;6;5
9477156;Stadtsteinach, St;61;9;10;0;3;18;16
9477157;Thurnau, M;51;1;10;0;3;18;16
9477158;Trebgast;20;1;4;0;1;11;7
9477159;Untersteinach;38;6;8;1;5;11;11
9477163;Wirsberg, M;38;8;6;1;4;10;9
9477164;Wonsees, M;18;1;1;1;4;5;5
9478111;Altenkunstadt;113;13;19;2;13;43;25
9478116;Burgkunstadt, St;148;12;20;6;19;50;40
9478120;Ebensfeld, M;68;5;11;2;8;21;18
9478127;Hochstadt a.Main;27;2;6;1;4;9;8
9478139;Lichtenfels, St;455;80;45;11;48;139;115
9478143;Marktgraitz, M;24;3;4;1;3;11;6
9478144;Marktzeuln, M;39;2;7;0;1;16;10
9478145;Michelau i.OFr.;131;10;22;2;11;45;30
9478155;Redwitz a.d.Rodach;88;13;11;3;9;33;21
9478165;Bad Staffelstein, St;160;14;24;2;15;51;34
9478176;Weismain, St;65;10;7;1;5;26;16
9478444;Gem.fr. Geb. Lichtenfels;-;-;-;-;-;-;-
9478451;Breitengüßbacher Forst;-;-;-;-;-;-;-
9478453;Neuensorger Forst;-;-;-;-;-;-;-
9479111;Bad Alexandersbad;14;1;4;0;1;6;5
9479112;Arzberg, St;123;30;21;2;13;40;25
9479126;Höchstädt i.Fichtelgebirge;11;0;1;0;2;4;1
9479127;Hohenberg a.d.Eger, St;23;2;3;0;2;7;4
9479129;Kirchenlamitz, St;54;8;7;1;5;19;12
9479135;Marktleuthen, St;69;5;10;1;4;20;26
9479136;Marktredwitz, GKSt;412;129;42;12;52;92;70
9479138;Nagel;27;1;5;0;2;9;5
9479145;Röslau;31;5;4;0;4;7;10
9479147;Schirnding, M;33;15;3;1;1;8;8
9479150;Schönwald, St;67;16;4;2;10;13;17
9479152;Selb, GKSt;461;126;35;13;52;117;121
9479158;Thiersheim, M;31;4;7;1;3;13;6
9479159;Thierstein, M;23;2;2;0;3;5;5
9479161;Tröstau;31;2;5;1;4;7;5
9479166;Weißenstadt, St;42;4;5;1;4;18;8
9479169;Wunsiedel, St;200;43;24;7;22;58;38
9479444;Gem.fr. Geb. Wunsiedel i.Fichtelgebirge;-;-;-;-;-;-;-
9479453;Kaiserhammer Forst-Ost;-;-;-;-;-;-;-
9479455;Martinlamitzer Forst-Süd;-;-;-;-;-;-;-
9479456;Meierhöfer Seite;-;-;-;-;-;-;-
9479457;Neubauer Forst-Süd;-;-;-;-;-;-;-
9479459;Tröstauer Forst-Ost;-;-;-;-;-;-;-
9479460;Tröstauer Forst-West;-;-;-;-;-;-;-
9479461;Vordorfer Forst;-;-;-;-;-;-;-
9479462;Weißenstadter Forst-Nord;-;-;-;-;-;-;-
9479463;Weißenstadter Forst-Süd;-;-;-;-;-;-;-
9561000;Ansbach;861;279;81;26;106;187;126
9562000;Erlangen;2255;791;280;52;221;471;815
9563000;Fürth;3644;1417;399;98;402;687;1093
9564000;Nürnberg;15410;6509;1689;362;1456;2874;3530
9565000;Schwabach;726;247;91;24;88;168;178
9571111;Adelshofen;9;1;1;1;2;3;2
9571113;Arberg, M;31;5;4;0;2;12;7
9571114;Aurach;33;3;7;0;3;15;8
9571115;Bechhofen, M;85;8;12;1;7;34;24
9571122;Bruckberg;18;6;3;0;1;6;5
9571125;Buch a.Wald;9;1;2;0;1;2;1
9571127;Burgoberbach;44;5;5;1;4;14;9
9571128;Burk;19;0;1;0;2;7;7
9571130;Colmberg, M;26;2;2;1;3;12;6
9571132;Dentlein a.Forst, M;25;3;7;2;3;7;5
9571134;Diebach;8;0;1;1;1;2;0
9571135;Dietenhofen, M;80;21;9;1;6;27;19
9571136;Dinkelsbühl, GKSt;203;41;24;4;24;57;48
9571137;Dombühl, M;28;9;4;1;3;8;3
9571139;Dürrwangen, M;28;6;2;0;5;5;8
9571141;Ehingen;18;2;2;1;4;6;2
9571145;Feuchtwangen, St;190;61;19;7;20;38;55
9571146;Flachslanden, M;21;2;6;0;1;7;5
9571152;Gebsattel;19;2;3;0;3;5;3
9571154;Gerolfingen;13;0;4;0;1;7;4
9571155;Geslau;15;4;3;0;2;6;4
9571165;Heilsbronn, St;138;46;16;2;16;39;28
9571166;Herrieden, St;78;8;8;2;10;25;16
9571169;Insingen;12;0;0;0;1;6;4
9571170;Langfurth;19;3;5;2;6;4;5
9571171;Lehrberg, M;51;15;9;2;5;16;11
9571174;Leutershausen, St;67;12;13;1;8;22;13
9571175;Lichtenau, M;44;8;2;1;5;14;7
9571177;Merkendorf, St;47;9;7;0;3;11;8
9571178;Mitteleschenbach;17;2;4;0;1;7;2
9571179;Mönchsroth;27;3;2;1;4;9;9
9571180;Neuendettelsau;111;36;18;1;11;37;21
9571181;Neusitz;27;5;6;0;2;8;4
9571183;Oberdachstetten;15;1;3;0;1;4;4
9571188;Ohrenbach;3;0;-;-;0;1;0
9571189;Ornbau, St;17;2;1;1;2;7;3
9571190;Petersaurach;47;4;9;2;7;16;9
9571192;Röckingen;8;1;2;0;1;2;3
9571193;Rothenburg ob der Tauber, GKSt;213;67;31;6;17;61;50
9571194;Rügland;12;1;1;0;1;5;3
9571196;Sachsen b.Ansbach;44;10;5;2;5;10;8
9571198;Schillingsfürst, St;37;9;3;0;4;10;8
9571199;Schnelldorf;30;5;5;1;4;7;9
9571200;Schopfloch, M;46;10;6;0;4;15;14
9571205;Steinsfeld;8;1;0;0;1;2;1
9571208;Unterschwaningen;13;.;1;1;2;6;3
9571214;Wassertrüdingen, St;84;14;7;1;8;25;25
9571216;Weidenbach, M;16;3;1;1;2;5;2
9571217;Weihenzell;26;2;4;1;3;8;4
9571218;Weiltingen, M;18;3;1;1;2;3;3
9571222;Wettringen;9;2;0;1;1;3;0
9571223;Wieseth;16;1;2;1;1;5;4
9571224;Wilburgstetten;34;7;5;2;7;6;7
9571225;Windelsbach;8;2;1;0;1;1;1
9571226;Windsbach, St;64;13;5;2;7;22;13
9571227;Wittelshofen;10;1;1;0;1;5;2
9571228;Wörnitz;19;6;2;0;4;5;1
9571229;Wolframs-Eschenbach, St;42;9;5;0;5;11;7
9571444;Gem.fr. Geb. Ansbach;-;-;-;-;-;-;-
9571451;Unterer Wald;-;-;-;-;-;-;-
9572111;Adelsdorf;82;10;12;3;12;25;14
9572114;Aurachtal;32;11;2;1;4;7;4
9572115;Baiersdorf, St;100;18;11;1;11;28;22
9572119;Bubenreuth;48;8;3;1;5;9;9
9572120;Buckenhof;29;3;3;0;2;11;7
9572121;Eckental, M;153;32;18;2;14;46;30
9572126;Gremsdorf;16;2;4;0;2;7;5
9572127;Großenseebach;18;3;1;0;1;7;4
9572130;Hemhofen;53;7;6;1;7;12;7
9572131;Heroldsberg, M;85;22;10;4;7;24;20
9572132;Herzogenaurach, St;257;67;26;7;26;75;39
9572133;Heßdorf;40;11;4;1;5;12;8
9572135;Höchstadt a.d.Aisch, St;172;46;22;5;17;47;29
9572137;Kalchreuth;33;8;2;1;3;7;5
9572139;Lonnerstadt, M;22;2;2;0;2;6;5
9572141;Marloffstein;16;2;2;0;1;5;2
9572142;Möhrendorf;33;6;3;0;3;12;6
9572143;Mühlhausen, M;11;1;2;0;1;2;1
9572147;Oberreichenbach;11;2;0;0;4;3;2
9572149;Röttenbach;45;8;5;1;3;15;10
9572154;Spardorf;20;3;3;0;2;5;5
9572158;Uttenreuth;45;8;5;1;5;13;9
9572159;Vestenbergsgreuth, M;20;1;3;1;4;9;5
9572160;Wachenroth, M;25;6;4;1;3;7;4
9572164;Weisendorf, M;67;12;8;2;7;24;10
9572444;Gem.fr. Geb. Erlangen-Höchstadt;-;-;-;-;-;-;-
9572451;Birkach;-;-;-;-;-;-;-
9572452;Buckenhofer Forst;-;-;-;-;-;-;-
9572453;Dormitzer Forst;-;-;-;-;-;-;-
9572454;Erlenstegener Forst;-;-;-;-;-;-;-
9572455;Forst Tennenlohe;-;-;-;-;-;-;-
9572456;Geschaidt;-;-;-;-;-;-;-
9572457;Kalchreuther Forst;-;-;-;-;-;-;-
9572458;Kraftshofer Forst;-;-;-;-;-;-;-
9572459;Mark;-;-;-;-;-;-;-
9572460;Neunhofer Forst;-;-;-;-;-;-;-
9573111;Ammerndorf, M;26;4;7;1;2;9;6
9573114;Cadolzburg, M;122;14;16;2;11;26;31
9573115;Großhabersdorf;60;8;11;1;6;17;20
9573120;Langenzenn, St;138;23;25;4;12;43;26
9573122;Oberasbach, St;227;39;33;5;23;59;60
9573123;Obermichelbach;32;1;6;1;3;9;8
9573124;Puschendorf;21;2;2;2;3;4;5
9573125;Roßtal, M;105;15;17;1;10;32;31
9573126;Seukendorf;28;2;4;0;3;9;5
9573127;Stein, St;258;77;37;4;24;63;72
9573129;Tuchenbach;18;1;1;1;2;8;3
9573130;Veitsbronn;123;38;11;5;12;26;26
9573133;Wilhermsdorf, M;68;11;12;2;8;19;19
9573134;Zirndorf, St;429;100;64;5;37;111;135
9574111;Alfeld;12;2;2;0;1;3;2
9574112;Altdorf b.Nürnberg, St;212;46;28;6;22;57;36
9574117;Burgthann;108;14;17;2;11;43;24
9574120;Engelthal;12;1;2;0;1;4;2
9574123;Feucht, M;180;47;22;2;15;43;31
9574128;Happurg;36;8;5;1;3;12;8
9574129;Hartenstein;12;2;3;0;1;4;3
9574131;Henfenfeld;21;3;3;0;2;3;4
9574132;Hersbruck, St;215;68;30;4;20;46;52
9574135;Kirchensittenbach;19;2;5;1;2;6;5
9574138;Lauf a.d.Pegnitz, St;393;104;55;7;40;93;81
9574139;Leinburg;64;8;12;2;6;18;13
9574140;Neuhaus a.d.Pegnitz, M;37;11;4;0;2;8;10
9574141;Neunkirchen a.Sand;49;11;9;1;6;18;7
9574145;Offenhausen;16;0;3;0;2;7;1
9574146;Ottensoos;24;9;4;1;5;3;4
9574147;Pommelsbrunn;59;12;11;2;6;14;14
9574150;Reichenschwand;28;8;7;1;5;9;8
9574152;Röthenbach a.d.Pegnitz, St;203;72;28;2;23;45;34
9574154;Rückersdorf;51;9;7;1;3;13;11
9574155;Schnaittach, M;113;25;18;3;14;32;21
9574156;Schwaig b.Nürnberg;103;18;11;2;9;32;21
9574157;Schwarzenbruck;105;27;11;3;16;27;22
9574158;Simmelsdorf;42;2;6;1;4;15;9
9574160;Velden, St;20;5;1;1;2;6;6
9574161;Vorra;25;6;3;1;4;6;3
9574164;Winkelhaid;44;9;6;1;6;13;10
9574444;Gem.fr. Geb. Nürnberger Land;-;-;-;-;-;-;-
9574451;Behringersdorfer Forst;-;-;-;-;-;-;-
9574452;Brunn;-;-;-;-;-;-;-
9574453;Engelthaler Forst;-;-;-;-;-;-;-
9574454;Feuchter Forst;-;-;-;-;-;-;-
9574455;Fischbach;-;-;-;-;-;-;-
9574456;Forsthof;-;-;-;-;-;-;-
9574457;Günthersbühler Forst;-;-;-;-;-;-;-
9574458;Haimendorfer Forst;-;-;-;-;-;-;-
9574460;Laufamholzer Forst;-;-;-;-;-;-;-
9574461;Leinburg;-;-;-;-;-;-;-
9574462;Rückersdorfer Forst;-;-;-;-;-;-;-
9574463;Schönberg;-;-;-;-;-;-;-
9574464;Winkelhaid;-;-;-;-;-;-;-
9574465;Zerzabelshofer Forst;-;-;-;-;-;-;-
9575112;Bad Windsheim, St;188;62;17;7;24;35;33
9575113;Baudenbach, M;11;.;1;1;3;2;4
9575115;Burgbernheim, St;30;8;2;3;7;4;3
9575116;Burghaslach, M;29;8;4;1;4;5;3
9575117;Dachsbach, M;10;2;0;0;1;2;1
9575118;Diespeck;34;6;4;2;5;7;5
9575119;Dietersheim;17;1;2;0;2;6;3
9575121;Emskirchen, M;52;12;5;1;6;14;9
9575122;Ergersheim;7;.;0;0;0;2;1
9575124;Gallmersgarten;4;1;0;0;1;1;.
9575125;Gerhardshofen;22;1;2;1;3;9;3
9575127;Gollhofen;5;0;1;0;0;3;0
9575128;Gutenstetten;13;5;0;0;0;2;1
9575129;Hagenbüchach;12;1;3;0;2;6;2
9575130;Hemmersheim;5;1;0;0;0;3;1
9575133;Illesheim;5;1;0;0;1;1;.
9575134;Ippesheim, M;9;0;1;0;1;3;2
9575135;Ipsheim, M;17;2;3;1;2;2;5
9575138;Langenfeld;10;1;1;0;1;3;2
9575143;Marktbergel, M;16;2;0;1;2;4;3
9575144;Markt Bibart, M;14;3;2;1;3;5;1
9575145;Markt Erlbach, M;58;18;8;1;5;18;9
9575146;Markt Nordheim, M;6;1;1;0;1;1;0
9575147;Markt Taschendorf, M;10;0;2;0;0;2;3
9575150;Münchsteinach;11;1;0;1;2;4;3
9575152;Neuhof a.d.Zenn, M;17;2;2;1;2;5;2
9575153;Neustadt a.d.Aisch, St;187;67;25;8;27;45;27
9575155;Oberickelsheim;3;.;1;0;0;1;.
9575156;Obernzenn, M;34;5;3;2;5;9;11
9575157;Oberscheinfeld, M;7;.;0;1;1;2;1
9575161;Scheinfeld, St;48;10;5;1;4;11;5
9575163;Simmershofen;7;0;1;0;1;2;.
9575165;Sugenheim, M;15;0;1;1;2;4;1
9575166;Trautskirchen;16;1;3;1;2;5;5
9575167;Uehlfeld, M;20;5;4;1;2;4;2
9575168;Uffenheim, St;80;15;6;4;12;16;13
9575179;Weigenheim;5;.;0;1;1;2;1
9575181;Wilhelmsdorf;10;1;0;0;2;3;1
9575444;Gem.fr. Geb. Neustadt a.d.Aisch-Bad Windsheim;-;-;-;-;-;-;-
9575451;Osing;-;-;-;-;-;-;-
9576111;Abenberg, St;64;7;11;2;9;17;13
9576113;Allersberg, M;120;24;10;3;11;42;26
9576117;Büchenbach;50;6;7;1;7;16;8
9576121;Georgensgmünd;89;11;15;2;8;31;22
9576122;Greding, St;61;9;8;2;8;22;13
9576126;Heideck, St;45;4;4;1;4;15;6
9576127;Hilpoltstein, St;142;19;19;4;15;49;26
9576128;Kammerstein;32;5;6;0;1;13;7
9576132;Schwanstetten, M;73;10;9;3;11;27;14
9576137;Rednitzhembach;74;6;10;2;8;23;15
9576141;Röttenbach;42;12;4;1;5;11;7
9576142;Rohr;32;5;5;1;3;11;4
9576143;Roth, St;374;88;44;7;44;106;69
9576147;Spalt, St;48;4;8;1;7;14;11
9576148;Thalmässing, M;53;7;6;1;8;17;9
9576151;Wendelstein, M;180;31;23;3;19;63;35
9576444;Gem.fr. Geb. Roth;-;-;-;-;-;-;-
9576451;Abenberger Wald;-;-;-;-;-;-;-
9576452;Dechenwald;-;-;-;-;-;-;-
9576453;Forst Kleinschwarzenlohe;-;-;-;-;-;-;-
9576454;Heidenberg;-;-;-;-;-;-;-
9576455;Soos;-;-;-;-;-;-;-
9577111;Absberg, M;16;2;1;0;1;3;3
9577113;Alesheim;9;3;1;0;2;1;2
9577114;Muhr a.See;34;11;3;1;5;10;8
9577115;Bergen;8;0;2;0;1;3;1
9577120;Burgsalach;12;1;5;0;1;7;3
9577122;Dittenheim;22;1;5;0;2;7;6
9577125;Ellingen, St;32;4;4;1;4;13;5
9577127;Ettenstatt;6;0;0;1;1;1;.
9577133;Gnotzheim, M;9;0;2;0;1;5;3
9577136;Gunzenhausen, St;293;71;37;5;23;86;63
9577138;Haundorf;38;4;7;1;3;18;9
9577140;Heidenheim, M;53;9;4;1;4;16;12
9577141;Höttingen;12;1;3;0;1;6;4
9577148;Langenaltheim;27;5;7;1;3;11;6
9577149;Markt Berolzheim, M;20;2;2;0;1;6;6
9577150;Meinheim;8;1;1;0;1;3;1
9577151;Nennslingen, M;18;1;1;0;1;8;3
9577158;Pappenheim, St;88;30;7;4;11;16;16
9577159;Pfofeld;23;3;2;1;2;11;4
9577161;Pleinfeld, M;112;19;6;3;13;32;19
9577162;Polsingen;21;4;2;0;2;7;3
9577163;Raitenbuch;6;.;0;0;2;1;1
9577168;Solnhofen;41;13;3;1;4;15;7
9577172;Theilenhofen;10;.;1;2;3;3;1
9577173;Treuchtlingen, St;282;87;31;6;30;72;62
9577177;Weißenburg i.Bay., GKSt;338;112;25;11;42;73;70
9577179;Westheim;10;1;1;0;1;3;2
9661000;Aschaffenburg;1980;779;164;54;230;382;415
9662000;Schweinfurt;1719;584;165;32;160;389;484
9663000;Würzburg;2551;749;230;45;222;533;677
9671111;Alzenau, St;200;49;12;5;21;61;41
9671112;Bessenbach;61;14;5;3;9;15;8
9671113;Blankenbach;20;3;2;0;2;7;4
9671114;Karlstein a.Main;127;27;9;2;13;39;29
9671119;Geiselbach;27;6;3;0;3;8;7
9671120;Glattbach;42;11;3;1;6;9;8
9671121;Goldbach, M;176;63;13;4;13;42;33
9671122;Großostheim, M;275;73;21;7;30;69;54
9671124;Haibach;117;27;13;2;15;29;24
9671126;Heigenbrücken;43;12;3;1;5;14;9
9671127;Heimbuchenthal;35;9;2;0;4;10;7
9671128;Heinrichsthal;7;.;1;0;2;2;1
9671130;Hösbach, M;215;63;11;3;20;58;50
9671133;Johannesberg;49;12;2;1;4;14;7
9671134;Kahl a.Main;109;28;14;3;9;30;22
9671135;Kleinkahl;24;5;3;1;2;7;5
9671136;Kleinostheim;139;38;14;2;11;42;31
9671138;Krombach;32;4;6;1;4;9;14
9671139;Laufach;75;25;4;1;11;20;15
9671140;Mainaschaff;196;60;17;3;19;45;38
9671141;Mespelbrunn;36;9;5;1;3;6;4
9671143;Mömbris, M;142;18;19;4;12;44;26
9671148;Rothenbuch;25;6;3;0;2;8;4
9671150;Sailauf;40;4;2;1;4;14;5
9671152;Schöllkrippen, M;63;18;8;2;8;13;14
9671153;Sommerkahl;11;2;1;1;1;3;2
9671155;Stockstadt a.Main, M;153;47;19;4;18;38;36
9671156;Waldaschaff;64;25;5;3;9;11;12
9671157;Weibersbrunn;37;16;1;1;4;10;4
9671159;Westerngrund;19;6;3;0;2;4;3
9671160;Dammbach;37;11;3;1;3;7;9
9671162;Wiesen;13;3;0;0;1;2;4
9671444;Gem.fr. Geb. Aschaffenburg;-;-;-;-;-;-;-
9671451;Forst Hain i.Spessart;-;-;-;-;-;-;-
9671453;Heinrichsthaler Forst;-;-;-;-;-;-;-
9671454;Huckelheimer Wald;-;-;-;-;-;-;-
9671456;Rohrbrunner Forst;-;-;-;-;-;-;-
9671457;Rothenbucher Forst;-;-;-;-;-;-;-
9671458;Sailaufer Forst;-;-;-;-;-;-;-
9671459;Schöllkrippener Forst;-;-;-;-;-;-;-
9671460;Waldaschaffer Forst;-;-;-;-;-;-;-
9671461;Wiesener Forst;-;-;-;-;-;-;-
9672111;Aura a.d.Saale;10;0;0;0;2;3;3
9672112;Bad Bocklet, M;71;12;13;1;7;24;20
9672113;Bad Brückenau, St;152;23;17;2;12;54;45
9672114;Bad Kissingen, GKSt;470;131;51;12;51;131;120
9672117;Burkardroth, M;88;4;10;2;8;32;21
9672121;Elfershausen, M;43;3;3;1;4;22;12
9672122;Euerdorf, M;26;2;1;1;3;11;7
9672124;Fuchsstadt;16;0;1;0;2;6;1
9672126;Geroda, M;10;1;1;0;2;2;2
9672127;Hammelburg, St;187;44;24;4;19;59;48
9672131;Maßbach, M;61;5;10;2;8;22;13
9672134;Motten;24;6;3;0;2;9;6
9672135;Münnerstadt, St;134;19;20;3;14;44;36
9672136;Nüdlingen;56;6;8;2;8;17;12
9672138;Oberleichtersbach;25;1;4;1;3;8;5
9672139;Oberthulba, M;78;7;12;3;7;34;22
9672140;Oerlenbach;67;12;8;0;6;20;14
9672142;Ramsthal;12;1;2;1;2;4;1
9672143;Rannungen;9;.;2;0;2;3;0
9672145;Riedenberg;15;4;0;1;2;4;3
9672149;Schondra, M;13;1;1;3;5;5;1
9672155;Sulzthal, M;10;0;1;0;1;1;2
9672157;Thundorf i.UFr.;16;.;1;1;3;6;3
9672161;Wartmannsroth;23;1;4;1;1;9;4
9672163;Wildflecken, M;65;4;8;3;6;19;18
9672166;Zeitlofs, M;34;2;5;0;4;10;8
9672444;Gem.fr. Geb. Bad Kissingen;-;-;-;-;-;-;-
